PUMFID,Province_Name,PFWEIGHT,Tenure_Group,PDCT_05_Clean,Income_Quintile,PHHTTINC_Clean,PHTYPE,PMINOR,PHHSIZE_Clean,prob_housing_stress,Predicted_Housing_Stress,Risk_Band,Risk_Segment,Actual_Stress
63678,Quebec,429.62,Renter,2.0,Q3,65000.0,5,2,1,0.0037269397162634776,0,Low,0,0
63679,Nova Scotia,37.8963,Renter,2.0,Q3,77500.0,3,2,2,0.01271572084193472,0,Low,0,0
63680,Alberta,63.5386,Renter,2.0,Q1 Lowest,19500.0,5,2,1,0.7287731121921015,1,High,0,1
63681,Saskatchewan,22.8516,Renter,2.0,Q1 Lowest,26000.0,5,2,1,0.47058643425713065,1,High,0,0
63682,British Columbia,56.6314,Renter,2.0,Q2,45000.0,3,1,3,0.5388801646235455,1,High,0,0
63683,Nova Scotia,48.7861,Owner (without mortgage),1.0,Q4,115000.0,2,2,2,0.0002593955644181644,0,Low,0,0
63684,Manitoba,79.9313,Owner (with mortgage),1.0,Q5 Highest,155000.0,1,1,5,0.00010691730474800723,0,Low,0,0
63685,New Brunswick,371.6889,Owner (with mortgage),1.0,Q5 Highest,150000.0,1,1,5,9.910478725833119e-05,0,Low,0,0
63686,Saskatchewan,42.8027,Renter,2.0,Q1 Lowest,26000.0,5,2,1,0.47058643425713065,1,High,0,0
63687,Ontario,432.4518,Owner (without mortgage),1.0,Q4,100000.0,2,2,2,0.0014089566188266206,0,Low,0,0
63688,Newfoundland and Labrador,465.2221,Owner (without mortgage),1.0,Q2,35000.0,5,2,1,0.11217606523498973,0,Low,0,0
63690,Prince Edward Island,17.5009,Renter,2.0,Q2,40000.0,2,2,2,0.121205249056938,0,Low,0,0
63691,Ontario,183.8496,Owner (with mortgage),1.0,Q5 Highest,220000.0,2,2,2,6.79072901565874e-08,0,Low,0,0
63692,Quebec,2756.1135,Owner (with mortgage),1.0,Q4,85000.0,2,2,2,0.0007066135205474345,0,Low,0,0
63693,Ontario,74.8162,Renter,2.0,Q1 Lowest,13000.0,5,2,1,0.7816824743559819,1,High,0,0
63694,New Brunswick,207.8411,Owner (without mortgage),1.0,Q4,95000.0,2,2,2,0.0007511787771354739,0,Low,0,0
63695,British Columbia,659.7386,Owner (without mortgage),1.0,Q3,50000.0,2,2,2,0.13202134397864218,0,Low,0,0
63696,Alberta,56.8398,Renter,2.0,Q4,95000.0,4,1,3,0.009808955089205722,0,Low,0,0
63698,British Columbia,150.7004,Owner (without mortgage),1.0,Q4,100000.0,3,1,4,0.008703683437590475,0,Low,0,0
63699,Manitoba,330.8618,Owner (without mortgage),1.0,Q2,28000.0,5,2,1,0.23646723169229877,0,Medium,0,1
63700,Ontario,53.121,Renter,2.0,Q4,85000.0,1,1,4,0.03536384466161642,0,Low,0,0
63701,Quebec,303.5233,Renter,2.0,Q1 Lowest,19500.0,5,2,1,0.22899979794839928,0,Medium,0,1
63702,Newfoundland and Labrador,70.9281,Owner (with mortgage),1.0,Q4,85000.0,1,1,3,0.0049708696256361385,0,Low,0,0
63703,Nova Scotia,20.501,Renter,2.0,Q2,43000.0,3,1,2,0.26189766563167954,0,Medium,0,1
63704,British Columbia,13.9916,Renter,2.0,Q1 Lowest,22000.0,5,2,1,0.6793533866241142,1,High,0,1
63705,New Brunswick,10.0,Owner (with mortgage),1.0,Q5 Highest,155000.0,1,1,4,3.0150923283502946e-05,0,Low,0,0
63706,Quebec,223.2974,Renter,2.0,Q5 Highest,155000.0,4,1,5,4.2714662366213464e-05,0,Low,0,0
63707,Ontario,959.3249,Renter,2.0,Q4,87500.0,4,1,4,0.029277830926420095,0,Low,0,0
63708,Quebec,403.4842,Renter,2.0,Q3,75000.0,5,2,1,0.0015801006941816376,0,Low,0,0
63709,Manitoba,203.0468,Renter,2.0,Q4,92500.0,99,2,2,0.004173066855622324,0,Low,1,0
63710,Manitoba,141.6131,Renter,2.0,Q3,77500.0,99,9,,0.022591919209532664,0,Low,1,0
63711,Alberta,173.9409,Owner (with mortgage),1.0,Q2,48000.0,2,2,2,0.15671370687389938,0,Medium,0,0
63712,Alberta,359.0937,Owner (with mortgage),1.0,Q4,115000.0,1,1,5,0.005217187893744436,0,Low,0,0
63713,Newfoundland and Labrador,103.2241,Owner (with mortgage),1.0,Q5 Highest,290000.0,1,1,4,3.662870402418901e-10,0,Low,0,0
